datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2020/09/27 17:44:26,GOES-16,Brasil,RONDONIA,PORTO VELHO,Amazonia,1,0,0.4,-9.5800,-64.4600,
2020/09/27 15:50:00,TERRA_M-T,Peru,Loreto,Requena,,1,0.2,0.4,-5.7160,-74.7480,43
2020/09/27 15:50:00,TERRA_M-T,Peru,Ucayali,Coronel Portillo,,3,0,0.1,-8.1270,-74.3330,47
2020/09/27 15:50:00,TERRA_M-T,Peru,Ucayali,Coronel Portillo,,4,0,0.1,-8.1300,-74.3100,27.7
2020/09/27 15:50:00,TERRA_M-T,Brasil,ACRE,CRUZEIRO DO SUL,Amazonia,4,0,0.4,-7.9280,-72.4120,31.9
2020/09/27 15:50:00,TERRA_M-T,Ecuador,Chimborazo,Riobamba,,1,7.8,0.1,-1.6350,-78.8280,11.1
2020/09/27 15:50:00,TERRA_M-T,Peru,Junin,Satipo,,7,0.9,0.6,-11.2710,-74.1270,28.7
2020/09/27 15:50:00,TERRA_M-T,Peru,Cusco,La Convencion,,16,0.7,0.8,-12.6600,-72.3990,285.4
2020/09/27 15:50:00,TERRA_M-T,Peru,Ucayali,Padre Abad,,4,5.7,0,-8.5510,-75.2090,58.9
2020/09/27 06:30:00,NPP-375,Venezuela,Distrito Capital,Libertador,,5,9.4,0.1,10.4209,-66.9549,0.2
2020/09/27 06:36:00,NPP-375,Brasil,ACRE,FEIJO,Amazonia,4,0,0.2,-8.9032,-71.4793,1
2020/09/27 06:36:00,NPP-375,Peru,Cusco,Chumbivilcas,,8,0,0.8,-14.2903,-72.0644,1.1
2020/09/27 06:36:00,NPP-375,Peru,Cusco,Chumbivilcas,,8,0,0.8,-14.2847,-72.0665,5.6
2020/09/27 06:36:00,NPP-375,Peru,Cusco,Chumbivilcas,,16,0.6,0.8,-14.1837,-71.5972,3
2020/09/27 06:36:00,NPP-375,Peru,Cusco,Chumbivilcas,,18,0.1,0.8,-14.4758,-72.1035,0.8
2020/09/27 06:36:00,NPP-375,Peru,Cusco,Chumbivilcas,,8,0,0.8,-14.2792,-72.0672,5.6
2020/09/27 06:36:00,NPP-375,Peru,Cusco,Acomayo,,8,1.4,0.8,-14.0829,-71.5550,3.3
2020/09/27 06:36:00,NPP-375,Peru,Cusco,Acomayo,,7,1.4,0.8,-14.0775,-71.5535,3.3
2020/09/27 06:36:00,NPP-375,Peru,Cusco,Acomayo,,7,1.4,0.8,-14.0771,-71.5572,6.6
2020/09/27 06:36:00,NPP-375,Brasil,ACRE,CRUZEIRO DO SUL,Amazonia,3,0,0.8,-7.6029,-72.7540,1.8
2020/09/27 06:36:00,NPP-375,Peru,Huanuco,Puerto Inca,,2,0.4,0.2,-8.9986,-74.8746,0.5
